model,mean_r2_score,median_r2_score,mean_rmse,mean_mae,mean_pearson_rp,median_pearson_rp,mean_spearman_rs,total_train_time_sec,successful_cellline_count
CatBoost,0.3748176022281819,0.35469201280514767,44.22195787354115,31.61550233880713,0.6179048740464373,0.61609234541511,0.5729283152434625,299.56088852882385,60
RandomForest,0.37123412165837766,0.36693344435261294,44.31799441783017,31.315135227822257,0.6126947888572986,0.614799880883105,0.5847651034742933,660.304589509964,60
LightGBM,0.37056954787885665,0.3722748849242215,44.29068997675277,31.475353632851508,0.612982536793196,0.6182743868439458,0.5804487170300946,177.9910807609558,60
XGBoost,0.36966000761989276,0.355505168895103,44.422603839684186,31.64611998532513,0.6119265012534432,0.6029641715164911,0.5756140322106944,153.82651662826538,60
