cell_line,selected_model,original_rows,augmented_training_rows,input_features,step5_r2_score,step5_rmse,step5_mae,step5_pearson_rp,step5_spearman_rs,final_model_path,train_time_sec,status,error
MCF7,RandomForest,2441,4882,526,0.5513889070909517,35.8850490921133,25.9587734888241,0.745631201203823,0.6940574093534954,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MCF7.pkl,11.868900299072266,success,
MDA-MB-231/ATCC,CatBoost,2440,4880,526,0.4307393535110015,36.61174674332229,27.9507336824716,0.6608601008819892,0.5476259622492272,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_MDA_MB_231_ATCC.pkl,5.036512136459351,success,
MDA-MB-435,LightGBM,2379,4758,526,0.4810283647743073,45.90443715702578,33.059256359801864,0.6941533676485613,0.6370138501398284,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_MDA_MB_435.pkl,2.913745403289795,success,
MDA-MB-468,RandomForest,2424,4848,526,0.1722536600149961,46.15821163892587,34.34492141877327,0.4412675542951451,0.4450775240218008,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MDA_MB_468.pkl,11.700578212738037,success,
MOLT-4,LightGBM,2349,4698,526,0.3660001533614532,98.0178924068492,54.58325015156834,0.6189988712456049,0.6712330986018172,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_MOLT_4.pkl,2.923119068145752,success,
NCI-H226,RandomForest,2437,4874,526,0.337751763828516,43.01266702601394,33.106584153005464,0.5831017736960203,0.5299471310701364,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H226.pkl,11.966270208358765,success,
NCI-H23,CatBoost,2436,4872,526,0.4773241982777502,41.24136545785079,29.528934663979037,0.70701360721557,0.6560934580072645,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H23.pkl,5.83094334602356,success,
NCI-H322M,XGBoost,2409,4818,526,0.3497054308137788,50.53858938861458,36.13910829707115,0.5919308311060705,0.5915049315626268,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_NCI_H322M.pkl,4.2089104652404785,success,
NCI-H460,CatBoost,2427,4854,526,0.4660614060146933,37.03178957082978,25.623754898698188,0.6985524168139557,0.5318771206692349,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H460.pkl,8.339844465255737,success,
NCI-H522,RandomForest,2389,4778,526,0.2959072706113633,53.320802935842565,31.095485634588563,0.567107261154989,0.5677371361316198,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H522.pkl,22.552429914474487,success,
NCI/ADR-RES,CatBoost,2442,4884,526,0.3072048882977002,26.144349221695204,20.45049322552208,0.5616255583062996,0.5183928901231514,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_ADR_RES.pkl,9.035828113555908,success,
OVCAR-3,RandomForest,2412,4824,526,0.3561040611673072,50.40121050977917,34.936109917355374,0.6077039581612783,0.6239627852910355,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_OVCAR_3.pkl,17.33211064338684,success,
OVCAR-4,CatBoost,2408,4816,526,0.4202039401799328,35.421134253252816,25.808786678286214,0.6642677741134306,0.5812354715420932,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_OVCAR_4.pkl,6.514471054077148,success,
OVCAR-5,CatBoost,2442,4884,526,0.4243665919474779,33.026394439589154,23.27212785018729,0.655259782989141,0.680703636229621,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_OVCAR_5.pkl,5.601790189743042,success,
OVCAR-8,XGBoost,2430,4860,526,0.3291168305615688,39.995286070295926,29.88884004674576,0.5782619438685673,0.480837138384964,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_OVCAR_8.pkl,3.077212333679199,success,
PC-3,LightGBM,2436,4872,526,0.332946034513649,31.51536452515252,23.63967935267145,0.5829560456980221,0.4662515382970307,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_PC_3.pkl,3.242109775543213,success,
RPMI-8226,LightGBM,2280,4560,526,0.4632417946269714,64.62825670489083,50.28169278914999,0.6991596538550564,0.6910363068000046,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_RPMI_8226.pkl,3.11794114112854,success,
RXF 393,CatBoost,2431,4862,526,0.4675533687486819,41.92765230955991,32.17371285980598,0.6971568970500386,0.557540067527955,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_RXF_393.pkl,6.605880498886108,success,
SF-268,XGBoost,2436,4872,526,0.4427686271235935,43.74094072556641,33.16980470949021,0.6700649470641792,0.6730067751675425,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SF_268.pkl,4.018643140792847,success,
